dataset,Ts,Te,TP,FN,FP,TPR,FP/TP,ratio
wenkanw,0.5,0.1,31,1,38,0.969,1.226,0.44285714285714284
wenkanw,0.5,0.15,31,1,39,0.969,1.258,0.43661971830985913
wenkanw,0.5,0.2,31,1,40,0.969,1.29,0.4305555555555556
wenkanw,0.5,0.25,31,1,39,0.969,1.258,0.43661971830985913
wenkanw,0.5,0.3,31,1,37,0.969,1.194,0.4492753623188406
wenkanw,0.5,0.35,31,1,37,0.969,1.194,0.4492753623188406
wenkanw,0.5,0.4,31,1,34,0.969,1.097,0.4696969696969697
wenkanw,0.5,0.45,31,1,35,0.969,1.129,0.4626865671641791
wenkanw,0.55,0.1,31,1,35,0.969,1.129,0.4626865671641791
wenkanw,0.55,0.15,31,1,36,0.969,1.161,0.45588235294117646
wenkanw,0.55,0.2,31,1,36,0.969,1.161,0.45588235294117646
wenkanw,0.55,0.25,31,1,35,0.969,1.129,0.4626865671641791
wenkanw,0.55,0.3,31,1,34,0.969,1.097,0.4696969696969697
wenkanw,0.55,0.35,31,1,33,0.969,1.065,0.47692307692307695
wenkanw,0.55,0.4,31,1,31,0.969,1.0,0.49206349206349204
wenkanw,0.55,0.45,31,1,31,0.969,1.0,0.49206349206349204
wenkanw,0.6,0.1,31,1,33,0.969,1.065,0.47692307692307695
wenkanw,0.6,0.15,31,1,34,0.969,1.097,0.4696969696969697
wenkanw,0.6,0.2,31,1,35,0.969,1.129,0.4626865671641791
wenkanw,0.6,0.25,31,1,34,0.969,1.097,0.4696969696969697
wenkanw,0.6,0.3,31,1,33,0.969,1.065,0.47692307692307695
wenkanw,0.6,0.35,31,1,33,0.969,1.065,0.47692307692307695
wenkanw,0.6,0.4,31,1,30,0.969,0.968,0.5
wenkanw,0.6,0.45,31,1,29,0.969,0.935,0.5081967213114754
wenkanw,0.65,0.1,31,1,28,0.969,0.903,0.5166666666666667
wenkanw,0.65,0.15,31,1,29,0.969,0.935,0.5081967213114754
wenkanw,0.65,0.2,31,1,30,0.969,0.968,0.5
wenkanw,0.65,0.25,31,1,29,0.969,0.935,0.5081967213114754
wenkanw,0.65,0.3,31,1,29,0.969,0.935,0.5081967213114754
wenkanw,0.65,0.35,31,1,29,0.969,0.935,0.5081967213114754
wenkanw,0.65,0.4,31,1,31,0.969,1.0,0.49206349206349204
wenkanw,0.65,0.45,31,1,30,0.969,0.968,0.5
wenkanw,0.7,0.1,31,1,27,0.969,0.871,0.5254237288135594
wenkanw,0.7,0.15,31,1,28,0.969,0.903,0.5166666666666667
wenkanw,0.7,0.2,31,1,28,0.969,0.903,0.5166666666666667
wenkanw,0.7,0.25,31,1,27,0.969,0.871,0.5254237288135594
wenkanw,0.7,0.3,31,1,28,0.969,0.903,0.5166666666666667
wenkanw,0.7,0.35,31,1,28,0.969,0.903,0.5166666666666667
wenkanw,0.7,0.4,31,1,28,0.969,0.903,0.5166666666666667
wenkanw,0.7,0.45,31,1,27,0.969,0.871,0.5254237288135594
wenkanw,0.75,0.1,31,1,26,0.969,0.839,0.5344827586206896
wenkanw,0.75,0.15,31,1,26,0.969,0.839,0.5344827586206896
wenkanw,0.75,0.2,31,1,26,0.969,0.839,0.5344827586206896
wenkanw,0.75,0.25,31,1,25,0.969,0.806,0.543859649122807
wenkanw,0.75,0.3,31,1,25,0.969,0.806,0.543859649122807
wenkanw,0.75,0.35,31,1,25,0.969,0.806,0.543859649122807
wenkanw,0.75,0.4,31,1,24,0.969,0.774,0.5535714285714286
wenkanw,0.75,0.45,31,1,24,0.969,0.774,0.5535714285714286
wenkanw,0.8,0.1,31,1,19,0.969,0.613,0.6078431372549019
wenkanw,0.8,0.15,31,1,19,0.969,0.613,0.6078431372549019
wenkanw,0.8,0.2,31,1,19,0.969,0.613,0.6078431372549019
wenkanw,0.8,0.25,31,1,19,0.969,0.613,0.6078431372549019
