dataset,win(sec),WAcc: GroupModel,WAcc2: GroupModel,WAcc: Individual-Model,WAcc2: Individual-Model,F1: GroupModel,F1: Individual-Model,Precision: GroupModel,Precision: Individual-Model,Recall: GroupModel,Recall: Individual-Model,Acc: GroupModel,Acc: Individual-Model
wenkanw,360,0.779,0.769,0.9,0.895,0.423,0.639,0.319,0.52,0.649,0.853,0.893,0.942
adam,360,0.956,0.946,0.959,0.962,0.433,0.625,0.284,0.484,0.983,0.949,0.931,0.968
lawler,360,0.605,0.622,0.721,0.737,0.132,0.258,0.076,0.166,0.494,0.578,0.707,0.851
shaurya,360,0.759,0.741,0.766,0.75,0.409,0.402,0.308,0.295,0.624,0.654,0.874,0.862
tianyi,360,0.833,0.834,0.843,0.845,0.456,0.474,0.341,0.359,0.736,0.76,0.92,0.918
james,360,0.787,0.79,0.799,0.797,0.303,0.311,0.194,0.206,0.73,0.77,0.838,0.825
cameron,360,0.641,0.686,0.614,0.69,0.113,0.12,0.062,0.072,0.659,0.465,0.631,0.756
zeyu,360,0.837,0.817,0.885,0.873,0.611,0.737,0.521,0.687,0.743,0.812,0.916,0.947
mohammad,360,0.639,0.588,0.556,0.479,0.153,0.059,0.11,0.041,0.292,0.188,0.778,0.712
average performance,-,0.76,0.755,0.783,0.781,0.337,0.403,0.246,0.314,0.657,0.67,0.832,0.865
